,Sigla da UF,Código do Município,Nome do Município_x,Código da Escola,Nome da Escola,Rede,ano,MT_5o,IDEB_5o,MT_9o,IDEB_9o,Nome do Município_y,cactus
174,CE,2300200,Acaraú,23000422,Hugo Martins Dos Santos Eeief,Municipal,2017,244.14,6.6,,,Acaraú,não cactus
175,CE,2300200,Acaraú,23000422,Hugo Martins Dos Santos Eeief,Municipal,2019,266.53,7.3,,,Acaraú,não cactus
176,CE,2300200,Acaraú,23000449,Joao Domingues De Sousa Eeief,Municipal,2005,,,,,Acaraú,cactus19
177,CE,2300200,Acaraú,23000449,Joao Domingues De Sousa Eeief,Municipal,2007,,,,,Acaraú,cactus19
178,CE,2300200,Acaraú,23000449,Joao Domingues De Sousa Eeief,Municipal,2009,,,238.38,3.9,Acaraú,cactus19
179,CE,2300200,Acaraú,23000449,Joao Domingues De Sousa Eeief,Municipal,2011,224.14,5.7,235.0,4.1,Acaraú,cactus19
180,CE,2300200,Acaraú,23000449,Joao Domingues De Sousa Eeief,Municipal,2013,,,258.97,4.9,Acaraú,cactus19
181,CE,2300200,Acaraú,23000449,Joao Domingues De Sousa Eeief,Municipal,2015,224.03,5.9,254.38,4.9,Acaraú,cactus19
182,CE,2300200,Acaraú,23000449,Joao Domingues De Sousa Eeief,Municipal,2017,287.58,8.5,299.0,5.6,Acaraú,cactus19
183,CE,2300200,Acaraú,23000449,Joao Domingues De Sousa Eeief,Municipal,2019,289.02,8.1,316.14,6.6,Acaraú,cactus19
184,CE,2300200,Acaraú,23000465,Joao Lourenco Pereira Rocha Eeief,Municipal,2005,,,,,Acaraú,não cactus
185,CE,2300200,Acaraú,23000465,Joao Lourenco Pereira Rocha Eeief,Municipal,2007,,,,,Acaraú,não cactus
186,CE,2300200,Acaraú,23000465,Joao Lourenco Pereira Rocha Eeief,Municipal,2009,,,,,Acaraú,não cactus
187,CE,2300200,Acaraú,23000465,Joao Lourenco Pereira Rocha Eeief,Municipal,2011,,,,,Acaraú,não cactus
188,CE,2300200,Acaraú,23000465,Joao Lourenco Pereira Rocha Eeief,Municipal,2013,220.61,5.6,,,Acaraú,não cactus
189,CE,2300200,Acaraú,23000465,Joao Lourenco Pereira Rocha Eeief,Municipal,2015,,,,,Acaraú,não cactus
